GPS-Reading took: 0.000000 [s] 	 Scanning took 4.727000 [s] 	 Evaluation took 3.134000 [s] 	 Writing to file took: 0.037000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.604000 [s] 	 Evaluation took 0.018000 [s] 	 Writing to file took: 0.048000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.624000 [s] 	 Evaluation took 0.132000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.527000 [s] 	 Evaluation took 0.083000 [s] 	 Writing to file took: 0.055000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.564000 [s] 	 Evaluation took 0.072000 [s] 	 Writing to file took: 0.032000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.598000 [s] 	 Evaluation took 0.860000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.605000 [s] 	 Evaluation took 0.107000 [s] 	 Writing to file took: 0.037000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.557000 [s] 	 Evaluation took 0.093000 [s] 	 Writing to file took: 0.040000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.571000 [s] 	 Evaluation took 0.098000 [s] 	 Writing to file took: 0.054000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.551000 [s] 	 Evaluation took 0.902000 [s] 	 Writing to file took: 0.050000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.560000 [s] 	 Evaluation took 0.108000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.544000 [s] 	 Evaluation took 0.136000 [s] 	 Writing to file took: 0.038000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 1.456000 [s] 	 Evaluation took 0.077000 [s] 	 Writing to file took: 0.023000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.725000 [s] 	 Evaluation took 1.994000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.610000 [s] 	 Evaluation took 0.021000 [s] 	 Writing to file took: 0.061000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.610000 [s] 	 Evaluation took 0.164000 [s] 	 Writing to file took: 0.040000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.598000 [s] 	 Evaluation took 0.094000 [s] 	 Writing to file took: 0.053000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.553000 [s] 	 Evaluation took 0.903000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.563000 [s] 	 Evaluation took 0.116000 [s] 	 Writing to file took: 0.061000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.728000 [s] 	 Evaluation took 2.262000 [s] 	 Writing to file took: 0.063000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.528000 [s] 	 Evaluation took 0.018000 [s] 	 Writing to file took: 0.041000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.627000 [s] 	 Evaluation took 0.176000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.580000 [s] 	 Evaluation took 0.084000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.572000 [s] 	 Evaluation took 0.860000 [s] 	 Writing to file took: 0.048000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.597000 [s] 	 Evaluation took 0.858000 [s] 	 Writing to file took: 0.041000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.614000 [s] 	 Evaluation took 0.910000 [s] 	 Writing to file took: 0.050000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.546000 [s] 	 Evaluation took 0.858000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.607000 [s] 	 Evaluation took 0.092000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.563000 [s] 	 Evaluation took 0.840000 [s] 	 Writing to file took: 0.049000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.622000 [s] 	 Evaluation took 0.108000 [s] 	 Writing to file took: 0.048000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.543000 [s] 	 Evaluation took 0.115000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.541000 [s] 	 Evaluation took 0.867000 [s] 	 Writing to file took: 0.055000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.591000 [s] 	 Evaluation took 0.119000 [s] 	 Writing to file took: 0.050000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.630000 [s] 	 Evaluation took 0.103000 [s] 	 Writing to file took: 0.039000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.560000 [s] 	 Evaluation took 0.901000 [s] 	 Writing to file took: 0.049000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.570000 [s] 	 Evaluation took 0.866000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.607000 [s] 	 Evaluation took 0.084000 [s] 	 Writing to file took: 0.058000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.560000 [s] 	 Evaluation took 0.108000 [s] 	 Writing to file took: 0.039000 [s]
